lokasi_omset_penjualan,jenis_komoditi,omzet,,
Pasar Bunga Rawabelong,Melati,833300000,,
Pasar Bunga Rawabelong,Pihong,64830000,,
Pasar Bunga Rawabelong,Kenanga,15320000,,
Pasar Bunga Rawabelong,Kantil,1200000,,
Pasar Bunga Rawabelong,Ros Rontokan  Malang,35280000,,
Pasar Bunga Rawabelong,Mawar Tabur,21420000,,
Pasar Bunga Rawabelong,Pandan Iris,40570000,,
Pasar Bunga Rawabelong,Daun Sirih,1900000,,
Pasar Bunga Rawabelong,Buah Pinang,3830000,,
Pasar Bunga Rawabelong,Nanas Muda,1020000,,
Pasar Bunga Rawabelong,Sedap Malam,1613750000,,
Pasar Bunga Rawabelong,Gladiol,29330000,,
Pasar Bunga Rawabelong,Ros Semy Holand Cipanas,529480000,,
Pasar Bunga Rawabelong,Ros Malang,319260000,,
Pasar Bunga Rawabelong,Hebras/Gerbera,434815000,,
Pasar Bunga Rawabelong,Lely,13650000,,
Pasar Bunga Rawabelong,Pikok,92475000,,
Pasar Bunga Rawabelong,Bunga  Balon,2180000,,
Pasar Bunga Rawabelong,Aster (Cipanas),75780000,,
Pasar Bunga Rawabelong,Krisan (Cipanas),54680000,,
Pasar Bunga Rawabelong,Bunga Matahari,61400000,,
Pasar Bunga Rawabelong,Bunga Teratai,4725000,,
Pasar Bunga Rawabelong,Aster (PT),335355000,,
Pasar Bunga Rawabelong,Krisan Std (PT),179060000,,
Pasar Bunga Rawabelong,Gerbera (PT),89200000,,
Pasar Bunga Rawabelong,Casablanca,470745000,,
Pasar Bunga Rawabelong,Solidago,49400000,,
Pasar Bunga Rawabelong,Carnation,120630000,,
Pasar Bunga Rawabelong,Asiatik,3600000,,
Pasar Bunga Rawabelong,Ratus,4400000,,
Pasar Bunga Rawabelong,Lysiantus,3750000,,
Pasar Bunga Rawabelong,Snap Dragon,114000000,,
Pasar Bunga Rawabelong,Kala Lily,22850000,,
Pasar Bunga Rawabelong,Celesia,102950000,,
Pasar Bunga Rawabelong,Agapantus,11300000,,
Pasar Bunga Rawabelong,Statis,5150000,,
Pasar Bunga Rawabelong,Baby Bret,30000000,,
Pasar Bunga Rawabelong,Kaspea,5500000,,
Pasar Bunga Rawabelong,Anggrek Dedrobium,279990000,,
Pasar Bunga Rawabelong,Vanda Douglas,49145000,,
Pasar Bunga Rawabelong,Anggrek Game Stori,16500000,,
